Positive, Neutral, Negative, Date
0,4,2,2016-10-13
0,5,3,2016-10-14
0,2,1,2016-10-15
0,6,1,2016-10-17
0,4,2,2016-10-17
0,4,3,2016-10-18
0,3,1,2016-10-18
0,7,2,2016-10-19
0,4,2,2016-10-19
0,5,1,2016-10-20
0,1,0,2016-10-23
0,3,1,2016-10-24
0,0,2,2016-10-24
0,3,3,2016-10-24
0,4,0,2016-10-25
0,3,1,2016-10-25
0,6,1,2016-10-26
0,5,2,2016-10-26
0,5,1,2016-10-27
0,3,1,2016-10-27
0,6,1,2016-10-28
0,4,1,2016-10-28
1,2,1,2016-10-29
0,6,0,2016-10-29
0,6,0,2016-10-30
0,3,0,2016-10-30
0,3,1,2016-10-31
0,4,0,2016-10-31
0,5,1,2016-11-01
0,4,3,2016-11-01
0,5,1,2016-11-01
0,4,3,2016-11-01
0,5,3,2016-11-01
0,5,3,2016-11-01
0,5,3,2016-11-01
0,5,0,2016-11-02
0,4,0,2016-11-02
0,2,1,2016-11-02
0,2,1,2016-11-03
0,3,0,2016-11-03
0,4,1,2016-11-04
0,4,0,2016-11-04
0,4,0,2016-11-04
0,4,1,2016-11-07
0,4,0,2016-11-07
1,4,1,2016-11-08
0,4,0,2016-11-08
1,7,0,2016-11-09
1,7,0,2016-11-09
1,7,1,2016-11-09
1,9,1,2016-11-09
1,8,1,2016-11-10
0,9,1,2016-11-10
0,7,2,2016-11-11
